domain,status,rows,method,auprc,aurc,auroc,brier,coverage_at_risk_0.05,coverage_at_risk_0.10,coverage_at_risk_0.20,ece,error_prevalence,mce,n,nll,risk_at_0.50,risk_at_0.70,risk_at_0.80,risk_at_0.90,risk_at_1.00
shift_weather,estimable,92,raw_confidence,0.7972358345535913,0.3358280991704857,0.7856797290759555,0.21549860137221435,0.15217391304347827,0.16304347826086957,0.25,0.17847956133925397,0.5760869565217391,0.5042897045612336,92.0,0.6196757832890715,0.3695652173913043,0.46153846153846156,0.527027027027027,0.5662650602409639,0.5760869565217391
shift_weather,estimable,92,uncertainty_only,0.8698949505279998,0.32175377139864675,0.8219641993226899,0.17414994986039103,0.10869565217391304,0.22826086956521738,0.2717391304347826,0.09949869633238656,0.5760869565217391,0.7395033745576839,92.0,0.6534464027444188,0.3695652173913043,0.4461538461538462,0.4864864864864865,0.5301204819277109,0.5760869565217391
shifted,estimable,144,class_localization,0.8691921604442189,0.31589424652845527,0.8426719840478565,0.15514853682737337,0.18055555555555555,0.2152777777777778,0.3472222222222222,0.03613895949558057,0.5902777777777778,0.32830747006764566,144.0,0.7316674049138393,0.3333333333333333,0.4752475247524752,0.5086206896551724,0.5461538461538461,0.5902777777777778
shifted,estimable,144,class_only,0.9422326341293253,0.27559722869232206,0.9200398803589231,0.12764769294715037,0.19444444444444445,0.2361111111111111,0.4305555555555556,0.1037172535740065,0.5902777777777778,0.19769068702708814,144.0,0.47274883906977294,0.25,0.42574257425742573,0.5,0.5461538461538461,0.5902777777777778
shifted,estimable,144,class_uncertainty,0.9213758972467749,0.29578865050671255,0.8857427716849452,0.1460721296667137,0.18055555555555555,0.2361111111111111,0.3194444444444444,0.08816979411900362,0.5902777777777778,0.8203341186428169,144.0,0.4223849579251228,0.3055555555555556,0.43564356435643564,0.49137931034482757,0.5461538461538461,0.5902777777777778
shifted,estimable,144,confidence_calibrated,0.8659657574768379,0.3168350213473985,0.8430707876370888,0.17523886601127503,0.1736111111111111,0.18055555555555555,0.2847222222222222,0.06258320541385486,0.5902777777777778,0.4316781516663369,144.0,0.6070207093908115,0.3333333333333333,0.45544554455445546,0.5258620689655172,0.5538461538461539,0.5902777777777778
shifted,estimable,144,flat_joint,0.948162335959825,0.27891961788886555,0.9204386839481555,0.11511494736584219,0.16666666666666666,0.2152777777777778,0.4513888888888889,0.07175995392293416,0.5902777777777778,0.3901939512595709,144.0,0.42913636735221206,0.25,0.42574257425742573,0.49137931034482757,0.5461538461538461,0.5902777777777778
shifted,estimable,144,localization_only,0.8064498231087325,0.4404413792962333,0.7451645064805583,0.20942581889257098,0.0,0.0,0.0,0.09475188906728796,0.5902777777777778,0.22580635161290322,144.0,1.4289174720465343,0.3888888888888889,0.49504950495049505,0.5344827586206896,0.5538461538461539,0.5902777777777778
shifted,estimable,144,localization_uncertainty,0.9090013439933802,0.31013197660849073,0.8687936191425722,0.15996091113651253,0.1388888888888889,0.20833333333333334,0.3125,0.07256631490342402,0.5902777777777778,0.25,144.0,0.6485711881014827,0.3194444444444444,0.44554455445544555,0.49137931034482757,0.5461538461538461,0.5902777777777778
shifted,estimable,144,multilevel,0.9190602748749381,0.298770157290724,0.882751744765703,0.15563881691023498,0.16666666666666666,0.2152777777777778,0.3125,0.07462798664710545,0.5902777777777778,0.5897053947756701,144.0,0.5434749359071542,0.3055555555555556,0.44554455445544555,0.49137931034482757,0.5461538461538461,0.5902777777777778
shifted,estimable,144,raw_confidence,0.8659657574768379,0.3168350213473985,0.8430707876370888,0.19729308432009612,0.1736111111111111,0.18055555555555555,0.2847222222222222,0.1885880086984899,0.5902777777777778,0.5025326050817966,144.0,0.5790718827084209,0.3333333333333333,0.45544554455445546,0.5258620689655172,0.5538461538461539,0.5902777777777778
shifted,estimable,144,uncertainty_only,0.9122994601523648,0.30348443390810115,0.8739780658025922,0.15505310539567127,0.18055555555555555,0.20833333333333334,0.3125,0.08878852791917519,0.5902777777777778,0.6380457101092587,144.0,0.5454843059578219,0.3194444444444444,0.44554455445544555,0.49137931034482757,0.5461538461538461,0.5902777777777778
